time,Thv,sigma,run,H,V
600.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
630.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
660.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
690.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
720.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
750.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
780.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
810.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
840.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
870.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
900.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
930.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
960.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
990.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1020.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1050.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1080.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1110.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1140.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1170.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1200.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1230.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1260.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1290.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1320.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1350.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1380.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1410.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1440.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1470.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1500.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1530.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1560.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1590.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1620.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1650.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1680.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1710.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1740.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1770.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1800.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1830.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1860.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
